Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
115,SLAM Algorithms,1,SLAM Algorithms,905,,0,1,0,O(n^3),"don't think ""avg case distribution"" makes sense here",(none),[http://ais.informatik.uni-freiburg.de/teaching/ss12/robotics/slides/12-slam.pdf EKF SLAM (1998)],EKF SLAM,1998,http://ais.informatik.uni-freiburg.de/teaching/ss12/robotics/slides/12-slam.pdf,,,,1,0,6,n: 6,$O(n^3)$,n: number of dimensions in state space,n,,,Real RAM?,words?,5,n: 5,O(n^2)?,(can be easily derived? it's mostly square matrices here),1,0,,0,,1,,0,0,,0,0,"https://www.researchgate.net/figure/Computational-Complexity-of-Different-Forms-of-Unscented-Kalman-Filter_tbl1_220398698

https://www.researchgate.net/publication/283824088_Computational_cost_analysis_of_extended_Kalman_filter_in_simultaneous_localization_and_mapping_EKF-SLAM_problem_for_autonomous_vehicle

https://www.researchgate.net/figure/Computational-Complexity-of-Different-Forms-of-Unscented-Kalman-Filter_tbl1_220398698",,,,,,,,,,,1000000000,1,,1.00E+18,1,,1.00E+27,1,,3,,,Robotics
115,SLAM Algorithms,1,SLAM Algorithms,906,,0,1,0,O(n^3),^see above,(none),[https://www.seas.harvard.edu/courses/cs281/papers/unscented.pdf UKF (2000)],UKF,2000,https://www.seas.harvard.edu/courses/cs281/papers/unscented.pdf,,,,0,0,6,n: 6,$O(n^3)$,n: number of dimensions in state space,n,,,Real RAM?,words?,5,n: 5,O(n^2)?,(can be easily derived? it's mostly square matrices here),1,0,,0,,1,,0,0,,0,0,(see above),,,,,,,,,,,1000000000,,,,,,,,,3,,,Robotics
115,SLAM Algorithms,1,SLAM Algorithms,907,,0,1,0,O(n^3),^see above,(none),[https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.206.999&rep=rep1&type=pdf Compressed Extended KF (2002)],Compressed Extended KF,2002,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.206.999&rep=rep1&type=pdf,,,,0,0,6,n: 6,$O(n^3)$,n: number of dimensions in state space,n,,,Real RAM?,words?,5,n: 5,O(n^2)?,(can be easily derived? it's mostly square matrices here),1,0,,0,,1,,0,0,,0,0,(see above),,,,,,,,,,,1000000000,,,,,,,,,3,,,Robotics
115,SLAM Algorithms,1,SLAM Algorithms,909,,0,1,1,O(n^2),^see above,(none),[https://papers.nips.cc/paper/1716-bayesian-map-learning-in-dynamic-environments.pdf Rao-Blackwellized Particle Filtering SLAM (2001)],Rao-Blackwellized Particle Filtering SLAM,2001,https://papers.nips.cc/paper/1716-bayesian-map-learning-in-dynamic-environments.pdf,,,,1,3->4,5,n: 5,$O(n^2)$,n: number of dimensions in state space,n,,,Real RAM?,words?,3,n: 3,O(n)?,(based on Section 4 of the paper?),0,1,,0,,1,,0,0,,0,0,(see above),,,,,,,,,,,1000000,1,,1000000000000,1000000,,1.00E+18,1000000000,,3,,,Robotics
20,LU Decomposition,2,Square Matrix LU Decomposition,212,,,1,1,O(n^2.376),,,[https://dl.acm.org/citation.cfm?id=248979 Bunch; Hopcroft (1974)],Bunch; Hopcroft,1974,https://dl.acm.org/citation.cfm?id=248979,1,1,https://www.ams.org/journals/mcom/1974-28-125/S0025-5718-1974-0331751-8/,1,0,4.188,"n: 5.376,
n^2: 4.188",$O(n^{2.376})$,n: dimension of square matrix,n^2,,,Word RAM,words,4,"n: 5.01,
n^2: 4",$\tilde{O}(n^2)$,Derived: Uses Strassen multiplication and a constant number of $n \times n$ auxiliary matrices,1,0,,0,n/a,0,n/a,0,0,,0,0,,"lower–upper (LU) decomposition or factorization factors a matrix as the product
 of a lower triangular matrix and an upper triangular matrix.",,,,,,,,,,13427649.61,74.47319739,0.135164559,180301774085957,5546.25713,0.2885985759,2.42E+21,413047.502,0.4627714341,3,,,Numerical Analysis
22,String Search,2,Single String Search,242,,,1,1,O(mn),,,[https://en.wikipedia.org/wiki/Bitap_algorithm Bitap algorithm (1964)],Bitap algorithm,1964,https://en.wikipedia.org/wiki/Bitap_algorithm,,,,0,0,5,"m: 3,
n: 3,
m+n: 5",$O(mn)$,"m: pattern length
n: text length",m+n,,,Word RAM,words,3,"n: 1,
m: 3,
m+n: 3",$O(m)$,Derived: Uses a bit array of size $O(m)$,1,0,,0,n/a,0,n/a,0,0,,0,0,,"try to find a place where one or several strings (also called patterns) are
 found within a larger string or text.",,,"n:m
9:1",,,,,,,,,,,,,,,,4,,,Combinatorics
1,Sorting,2,Comparison Sorting,4,,,1,1,O(n logn),uniform distribution over all possible permutations,(derive from lower + upper bounds),[https://link.springer.com/chapter/10.1007/978-1-349-08147-9_4 Tree sort (1986)],Tree sort,1986,https://link.springer.com/chapter/10.1007/978-1-349-08147-9_4,,,,0,0,4,n: 4,$O(n \log n)$,n: size of list,n,,,Word RAM,words,3,n: 3,O(n),"Derived: Need some way to store the tree of elements, so we need $O(n)$ auxiliary space.",1,0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
1,Sorting,2,Comparison Sorting,6,,,1,1,O(n logn),uniform distribution over all possible permutations,https://academic.oup.com/comjnl/article/5/1/10/395338?login=true,[https://apps.dtic.mil/dtic/tr/fulltext/u2/740110.pdf Quick Sort (1961)],Quick Sort,1961,https://apps.dtic.mil/dtic/tr/fulltext/u2/740110.pdf,,,,0,0,5,n: 5,$O(n^2)$,n: size of list,n,,,Word RAM,words,2,n: 2,O(\log n),https://academic.oup.com/comjnl/article/5/1/10/395338?login=true,0,0,,0,,0,,0,0,,0,0,https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
1,Sorting,2,Comparison Sorting,9,,,1,1,O(n*log n),uniform distribution over all possible permutations (implicit; reference says runtime is O(n+n*log(rho)) where rho is number of runs but expected value of rho is Theta(n),https://drops.dagstuhl.de/opus/volltexte/2018/9467/,[- Tim Sort (2002)],Tim Sort,2002,-,,,,0,0,4,n: 4,$O(n logn)$,n: size of list,n,,,Word RAM,words,3,n: 3,O(n),(can be easily derived),1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Timsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,10,,,1,1,O(n logn),,,[https://www.sciencedirect.com/science/article/pii/0196677492900166?via%3Dihub Cube Sort Parallel Implementation (1992)],Cube Sort Parallel Implementation,1992,https://www.sciencedirect.com/science/article/pii/0196677492900166?via%3Dihub,,,,0,0,4,n: 4,$O(n logn)$,n: size of list,n,,,Parallel RAM,words,3,n: 3,O(n),(can be easily derived),1,0,,0,,0,,0,1,,0,0,https://en.wikipedia.org/wiki/Cubesort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,11,,,1,1,O( n² ),<= potentially open?,,[https://dl.acm.org/citation.cfm?doid=368370.368387 Shell Sort (Shell) (1959)],Shell Sort (Shell),1959,https://dl.acm.org/citation.cfm?doid=368370.368387,,,,0,0,5,n: 5,$O(n^2)$,n: size of list,n,,,Word RAM,words,1,n: 1,O(1),in-situ sorting,1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,12,,,1,1,O(n^1.5),<= I think this is an open problem to determine if there's a better average-case bound,,[https://dl.acm.org/citation.cfm?doid=366947.366957 Shell Sort (Frank & Lazarus) (1960)],Shell Sort (Frank & Lazarus),1960,https://dl.acm.org/citation.cfm?doid=366947.366957,,,,0,0,4.5,n: 4.5,$O(n^{1.5})$,n: size of list,n,,,Word RAM,words,1,n: 1,O(1),in-situ sorting,1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,None,,,,,,,31622,31.62355322,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,13,,,1,1,O(n log² n),<= I think this is an open problem to determine if there's a better average-case bound,,[https://apps.dtic.mil/sti/pdfs/AD0740110.pdf Shell Sort (Pratt) (1971)],Shell Sort (Pratt),1971,https://apps.dtic.mil/sti/pdfs/AD0740110.pdf,,,,0,0,4.01,n: 4.01,$O(n \log^2 n)$,n: size of list,n,,,Word RAM,words,1,n: 1,O(1),in-situ sorting,1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,99301,10.07039204,,,,,,,,4,,,Combinatorics
1,Sorting,1,Comparison Sorting,14,,,1,1,O(n^1.33),<= I think this is an open problem to determine if there's a better average-case bound,,[https://www.sciencedirect.com/science/article/pii/0196677486900015?via%3Dihub Shell Sort (Sedgewick) (1986)],Shell Sort (Sedgewick),1986,https://www.sciencedirect.com/science/article/pii/0196677486900015?via%3Dihub,,,,0,0,4.33,n: 4.33,$O(n^{1.33})$,n: size of list,n,,,Word RAM,words,1,n: 1,O(1),in-situ sorting,1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9772,102.3331969,,,,,,,,4,,,Combinatorics
1,Sorting,2,Comparison Sorting,17,,,1,1,O(log² n),,,[https://epubs.siam.org/doi/abs/10.1137/0218014 Bitonic Merge Sort Parallel Implementation (1968)],Bitonic Merge Sort Parallel Implementation,1968,https://epubs.siam.org/doi/abs/10.1137/0218014,,,,0,0,2,n: 2,$O(\log^2 n)$,n: size of list,n,,,PRAC (shared-memory multiprocessor of the EREW PRAM variety),words,1,n: 1,O(1),"Paper claims ""logspace uniform"", so with O(log n) words, this is constant # of words",0,1,,0,,0,,0,1,n/log(n),0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,99,10101.0101,,,,,,,,4,,,Combinatorics
1,Sorting,2,Comparison Sorting,22,,,1,1,O(n loglogn),,,[https://www.sciencedirect.com/science/article/pii/S0196677402912113 Thorup's Sorting Algorithm (2002)],Thorup's Sorting Algorithm,2002,https://www.sciencedirect.com/science/article/pii/S0196677402912113,,,,0,0,4,n: 4,$O(n \log \log n)$,n: size of list,n,,,Word RAM,words,3,n: 3,O(n),https://www.sciencedirect.com/science/article/pii/S0196677402912113,0,1,,0,,0,,0,0,0,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,3316,301.5681544,,,,,,,,4,,,Combinatorics
1,Sorting,2,Non-Comparison Sorting,1500,,,1,1,O( n² ),uniform distribution over all possible permutations?,can consider expected number of swaps per element,[- Naive sorting (1940)],Naive sorting,1940,-,1,1,,1,0,5,n: 5,$O(n^2)$,n: size of list,n,,,Word RAM,words,1,n: 1,O(1),in-situ sorting,1,0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,NA,,,,,,,1000000,1,,1000000,1,,1000000000,1,,4,NA,NA,Combinatorics
1,Sorting,2,Non-Comparison Sorting,15,,,1,1,O(n),uniform distribution over all sets of key values,(can be easily derived),[http://www.neubert.net/FSOIntro.html Flash Sort (1998)],Flash Sort,1998,http://www.neubert.net/FSOIntro.html,,,,0,0,5,n: 5,$O(n^2)$,n: size of list,n,,,Word RAM,words,3,n: 3,O(n),"http://www.neubert.net/FSOIntro.html, ""array of size # of different keys""",0,1,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000,1000,,,,,,,,4,,,Combinatorics
1,Sorting,1,Non-Comparison Sorting,18,,,1,1,O(n),uniform distribution over all sets of positive key values,(can be easily derived),[https://web.archive.org/web/20170809110409/https://www.cs.auckland.ac.nz/~jaru003/research/publications/journals/beadsort.pdf Bead Sort (2002)],Bead Sort,2002,https://web.archive.org/web/20170809110409/https://www.cs.auckland.ac.nz/~jaru003/research/publications/journals/beadsort.pdf,,,,0,0,3,n: 3,$O(n)$,n: size of list,n,,,Word RAM,words,5,n: 5,O(n^2),(wikipedia page?),0,0,,0,,0,,0,0,,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000,1000,,,,,,,,4,,,Combinatorics
1,Sorting,1,Non-Comparison Sorting,20,,,1,1,O(wn),Any distribution (runtime is same regardless of input)?,(same behavior across all inputs),[https://dl.acm.org/citation.cfm?doid=1005813.1041517 Burst Sort (2004)],Burst Sort,2004,https://dl.acm.org/citation.cfm?doid=1005813.1041517,,,,0,0,4,"n: 4,
w: 3",$O(wn)$,"n: size of list
w: length of word",n,,,Word RAM,words,4,"n: 4,
w: 3",O(wn),(wikipedia page?),0,0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000,1000,,,,,,,,4,,,Combinatorics
1,Sorting,1,Non-Comparison Sorting,23,,,1,1,O(n),"Lots of distributions (uniform, Gaussian, etc.)",https://www.semanticscholar.org/paper/The-Spreadsort-High-performance-General-case-Ross/41f5b49e9843b2d98b6b22a84924dae5761e6e52,[https://www.semanticscholar.org/paper/The-Spreadsort-High-performance-General-case-Ross/41f5b49e9843b2d98b6b22a84924dae5761e6e52 Spreadsort (2002)],Spreadsort,2002,https://www.semanticscholar.org/paper/The-Spreadsort-High-performance-General-case-Ross/41f5b49e9843b2d98b6b22a84924dae5761e6e52,,,,0,0,4,n: 4,$O(n \log n)$,n: size of list,n,,,Word RAM,words,3,n: 3,O(n)?,(can be easily derived?),1,0,,0,,0,,0,0,0,0,0,"https://en.wikipedia.org/wiki/Spreadsort#cite_note-1

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000,1000,,,,,,,,4,,,Combinatorics
5,Maximum Flow,1,,53,,,1,1,O(V^2EU),<= possibly open if there's a better bound? i.e. for Erdos-Renyi with uniform edge weights,,[ Dantzig (1951)],Dantzig,1951,,,,,1,0,7,"V: 7,
E: 3,
U: 3",$O(V^2EU)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,6,"V: 6,
E: 3",O(VE)?,"Assuming this is referring to translating maximum flow into linear programming and using the simplex algorithm, this requires $O(VE)$ space.",1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",1666666.667,,1666666666667,,1.67E+18,,7877875424,1,,7.88E+21,1,,7.88E+33,1,,2,,,Combinatorics
5,Maximum Flow,2,,57,,,1,1,O(VELogU),^ see above,,[https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549 Dinitz (with dynamic trees) (1973)],Dinitz (with dynamic trees),1973,https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549,,,,0,0,6,"V: 6,
E: 3,
U: 2",$O(VE \log U)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E),"The dynamic tree should take $O(E)$ extra space, and that should be the only extra space (if any) compared to Dinitz's original algorithm. Thus, this requires $O(E)$ space.",1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,762183.964,10335.92387,0.5221954617,1646721030716,4783976929,1.754167902,2.53E+18,3.11E+15,4.060932865,2,,,Combinatorics
5,Maximum Flow,2,,59,,,1,1,O(V^2E^0.5),^ see above,,[https://www.sciencedirect.com/science/article/abs/pii/S037722179600269X Cherkassky (1977)],Cherkassky,1977,https://www.sciencedirect.com/science/article/abs/pii/S037722179600269X,,,,0,0,6,"V: 6,
E: 2.5",$O(V^2E^{0.5})$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,1044405,7542.931549,,,,,,,,2,,,Combinatorics
5,Maximum Flow,1,,61,,,1,1,O(VELogV),^ see above,,[https://www.sciencedirect.com/science/article/pii/0022000083900065 Sleator & Tarjan (1983)],Sleator & Tarjan,1983,https://www.sciencedirect.com/science/article/pii/0022000083900065,,,,0,0,6.01,"V: 6.01,
E: 3",$O(VE \log V)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E),can be derived?,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,761538,10344.69117,,,,,,,,2,,,Combinatorics
5,Maximum Flow,1,,62,,,1,1,O(VELog(V^2/E)),^ see above,,[https://www.cs.princeton.edu/courses/archive/fall03/cs528/handouts/a%20new%20approach.pdf Goldberg & Tarjan (1986)],Goldberg & Tarjan,1986,https://www.cs.princeton.edu/courses/archive/fall03/cs528/handouts/a%20new%20approach.pdf,,,,0,0,6,"V: 6,
E: 3",$O(VE \log (V^2/E))$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E),can be derived? also hints of space complexity might be in the paper,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,753550,10454.34998,,,,,,,,2,,,Combinatorics
5,Maximum Flow,1,,63,,,1,1,O(VE + V^2LogU),^ see above,,[https://www.researchgate.net/publication/38008130_A_Fast_and_Simple_Algorithm_for_the_Maximum_Flow_Problem Ahuja & Orlin (1987)],Ahuja & Orlin,1987,https://www.researchgate.net/publication/38008130_A_Fast_and_Simple_Algorithm_for_the_Maximum_Flow_Problem,,,,0,0,6,"V: 6,
E: 3,
U: 2",$O(VE + V^2 \log U)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3,
U: 2",O(ELogU),derived in sheet,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,545676,14436.91023,,,,,,,,2,,,Combinatorics
5,Maximum Flow,2,st-Maximum Flow,65,Push-relabel method,,1,1,O(VE + V^2(LogV)^2),[some distribution in this paper],https://ieeexplore.ieee.org/document/63465,[https://ieeexplore.ieee.org/document/63465 Cheriyan & Hagerup (1989)],Cheriyan & Hagerup,1989,https://ieeexplore.ieee.org/document/63465,,,,0,0,6.01,"V: 6.01,
E: 3",$O(VE \log V)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://ieeexplore.ieee.org/document/63465,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: d_heap and e_heap are size O(V). Adjacency list of a given vertex is O(V). Dynamic trees data structure is size O(E).,1,0,,1,Las Vegas,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,3362046,2343.178952,,,,,,,,2,,,Combinatorics
5,Maximum Flow,2,st-Maximum Flow,66,Derandomization of Cheriyan & Hagerup,,1,1,O(V^3 / LogV),see 233,,[https://link.springer.com/chapter/10.1007/BFb0032035 Cheriyan et al. (1990)],Cheriyan et al.,1990,https://link.springer.com/chapter/10.1007/BFb0032035,,,,0,0,5.99,V: 5.99,$O(V^3 / \log V)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://link.springer.com/chapter/10.1007/BFb0032035,0,Uniform-Cost RAM (is this the same as Word RAM?),words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,1567523,5025.684104,,,,,,,,2,,,Combinatorics
5,Maximum Flow,2,st-Maximum Flow,67,Derandomization of Cheriyan & Hagerup,,1,1,O(VE + V^{(2.66)}LogV),^ see 233,,[https://www.sciencedirect.com/science/article/pii/002001909090024R Alon (1990)],Alon,1990,https://www.sciencedirect.com/science/article/pii/002001909090024R,,,,0,0,6,"V: 6,
E: 3",$O(VE + V^{2.66} \log V)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://www.sciencedirect.com/science/article/pii/002001909090024R,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,15237244,517.0144564,0.1737537478,3.29E+15,2396247.828,0.4573965487,4.90E+23,16091415411,0.8268695823,2,,,Combinatorics
5,Maximum Flow,2,st-Maximum Flow,68,Derandomization of Cheriyan & Hagerup,,1,1,O(VE + V^{(2+\epsilon)}),^ see 233,,[https://dl.acm.org/citation.cfm?id=139438 King et al. (KRT) (1992)],King et al. (KRT),1992,https://dl.acm.org/citation.cfm?id=139438,,,,0,0,6,"V: 6,
E: 3",$O(VE + V^{2+\epsilon})$,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: any positive real number",V,https://dl.acm.org/citation.cfm?id=139438,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,142011,55473.69869,,,,,,,,2,,,Combinatorics
5,Maximum Flow,2,st-Maximum Flow,69,Derandomization of Cheriyan & Hagerup,,1,1,O(VE(Log(V;V/E)) + V^2(LogV)^2 ),^ see 233,,[https://dl.acm.org/citation.cfm?id=167201 Phillips & Westbrook (1993)],Phillips & Westbrook,1993,https://dl.acm.org/citation.cfm?id=167201,,,,1,0,6,"V: 6,
E: 3",$O(VE(\log(V;V/E)) + V^2(\log V)^2 )$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=167201,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,4524418.767,0.0002210228653,,26027057526546,0,,6.52E+19,0,,2,,,Combinatorics
5,Maximum Flow,2,Integer Maximum Flow,71,Finding blocking flows,,1,1,O(E^{1.5} Log(V^2/E) LogU),^ see 233,,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (1997)],Goldberg & Rao,1997,https://dl.acm.org/citation.cfm?id=290181,,,,1,3->4,6,"V: 6,
E: 4.5,
U: 2",$O(E^{1.5} \log(V^2/E) \log U)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=290181,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,460753.7601,16.40695149,,75582472025,0,,5.82E+15,0,,2,,,Combinatorics
5,Maximum Flow,2,Integer Maximum Flow,72,Finding blocking flows,,1,1,O(V^{0.66}E Log(V^2/E) LogU),^ see 233,,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (1997)],Goldberg & Rao,1997,https://dl.acm.org/citation.cfm?id=290181,,,,0,0,5.66,"V: 5.66,
E: 3,
U: 2",$O(V^{0.66}E \log(V^2/E) \log U)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=290181,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,851225,9254.751005,,,,,,,,2,,,Combinatorics
5,Maximum Flow,2,st-Maximum Flow,73,Improvement of the KRT algorithm,,1,1,O(VE),^ see 233,,[https://dl.acm.org/citation.cfm?id=2488705 James B Orlin's + KRT (King; Rao; Tarjan)'s algorithm (2013)],James B Orlin's + KRT (King; Rao; Tarjan)'s algorithm,2013,https://dl.acm.org/citation.cfm?id=2488705,,,,1,0,6,"V: 6,
E: 3",$O(VE)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=2488705,0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,88757,88757.7929,0.2017379668,88757396440,88757396408,0.5017026406,8.88E+16,8.88E+16,0.8765413472,2,,,Combinatorics
