,Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,Unnamed: 12,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
89,1,Sorting,1.0,Comparison Sorting,14.0,,,1,1,O(n^1.33),<= I think this is an open problem to determine if there's a better average-case bound,,[https://www.sciencedirect.com/science/article/pii/0196677486900015?via%3Dihub Shell Sort (Sedgewick) (1986)],Shell Sort (Sedgewick),1986,https://www.sciencedirect.com/science/article/pii/0196677486900015?via%3Dihub,,,,0,0,4.33,n: 4.33,$O(n^{1.33})$,n: size of list,n,,,Word RAM,words,1,n: 1,O(1),in-situ sorting,1.0,0.0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Shellsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,9772.0,102.3331969,,,,,,,,4,,,Combinatorics
90,1,Sorting,2.0,Comparison Sorting,22.0,,,1,1,O(n loglogn),,,[https://www.sciencedirect.com/science/article/pii/S0196677402912113 Thorup's Sorting Algorithm (2002)],Thorup's Sorting Algorithm,2002,https://www.sciencedirect.com/science/article/pii/S0196677402912113,,,,0,0,4,n: 4,$O(n \log \log n)$,n: size of list,n,,,Word RAM,words,3,n: 3,O(n),https://www.sciencedirect.com/science/article/pii/S0196677402912113,0.0,1.0,,0,,0,,0,0,0,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,3316.0,301.5681544,,,,,,,,4,,,Combinatorics
91,1,Sorting,2.0,Non-Comparison Sorting,1500.0,,,1,1,O( n² ),uniform distribution over all possible permutations?,can consider expected number of swaps per element,[- Naive sorting (1940)],Naive sorting,1940,-,1,1.0,,1,0,5,n: 5,$O(n^2)$,n: size of list,n,,,Word RAM,words,1,n: 1,O(1),in-situ sorting,1.0,0.0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000000.0,1,,1000000,1,,1000000000,1,,4,,,Combinatorics
92,1,Sorting,2.0,Non-Comparison Sorting,15.0,,,1,1,O(n),uniform distribution over all sets of key values,(can be easily derived),[http://www.neubert.net/FSOIntro.html Flash Sort (1998)],Flash Sort,1998,http://www.neubert.net/FSOIntro.html,,,,0,0,5,n: 5,$O(n^2)$,n: size of list,n,,,Word RAM,words,3,n: 3,O(n),"http://www.neubert.net/FSOIntro.html, ""array of size # of different keys""",0.0,1.0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000.0,1000,,,,,,,,4,,,Combinatorics
93,1,Sorting,1.0,Non-Comparison Sorting,18.0,,,1,1,O(n),uniform distribution over all sets of positive key values,(can be easily derived),[https://web.archive.org/web/20170809110409/https://www.cs.auckland.ac.nz/~jaru003/research/publications/journals/beadsort.pdf Bead Sort (2002)],Bead Sort,2002,https://web.archive.org/web/20170809110409/https://www.cs.auckland.ac.nz/~jaru003/research/publications/journals/beadsort.pdf,,,,0,0,3,n: 3,$O(n)$,n: size of list,n,,,Word RAM,words,5,n: 5,O(n^2),(wikipedia page?),0.0,0.0,,0,,0,,0,0,,0,0,,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000.0,1000,,,,,,,,4,,,Combinatorics
94,1,Sorting,1.0,Non-Comparison Sorting,20.0,,,1,1,O(wn),Any distribution (runtime is same regardless of input)?,(same behavior across all inputs),[https://dl.acm.org/citation.cfm?doid=1005813.1041517 Burst Sort (2004)],Burst Sort,2004,https://dl.acm.org/citation.cfm?doid=1005813.1041517,,,,0,0,4,"n: 4,
w: 3",$O(wn)$,"n: size of list
w: length of word",n,,,Word RAM,words,4,"n: 4,
w: 3",O(wn),(wikipedia page?),0.0,0.0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000.0,1000,,,,,,,,4,,,Combinatorics
95,1,Sorting,1.0,Non-Comparison Sorting,23.0,,,1,1,O(n),"Lots of distributions (uniform, Gaussian, etc.)",https://www.semanticscholar.org/paper/The-Spreadsort-High-performance-General-case-Ross/41f5b49e9843b2d98b6b22a84924dae5761e6e52,[https://www.semanticscholar.org/paper/The-Spreadsort-High-performance-General-case-Ross/41f5b49e9843b2d98b6b22a84924dae5761e6e52 Spreadsort (2002)],Spreadsort,2002,https://www.semanticscholar.org/paper/The-Spreadsort-High-performance-General-case-Ross/41f5b49e9843b2d98b6b22a84924dae5761e6e52,,,,0,0,4,n: 4,$O(n \log n)$,n: size of list,n,,,Word RAM,words,3,n: 3,O(n)?,(can be easily derived?),1.0,0.0,,0,,0,,0,0,0,0,0,"https://en.wikipedia.org/wiki/Spreadsort#cite_note-1

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1.0,n is the size of the array to be sorted.,,,,,,,,1000.0,1000,,,,,,,,4,,,Combinatorics
96,5,Maximum Flow,1.0,,53.0,,,1,1,O(V^2EU),<= possibly open if there's a better bound? i.e. for Erdos-Renyi with uniform edge weights,,[ Dantzig (1951)],Dantzig,1951,,,,,1,0,7,"V: 7,
E: 3,
U: 3",$O(V^2EU)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,6,"V: 6,
E: 3",O(VE)?,"Assuming this is referring to translating maximum flow into linear programming and using the simplex algorithm, this requires $O(VE)$ space.",1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",1666666.667,,1666666666667.0,,1.67e+18,,7877875424.0,1,,7.88E+21,1,,7.88E+33,1,,2,,,Combinatorics
97,5,Maximum Flow,2.0,,57.0,,,1,1,O(VELogU),^ see above,,[https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549 Dinitz (with dynamic trees) (1973)],Dinitz (with dynamic trees),1973,https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549,,,,0,0,6,"V: 6,
E: 3,
U: 2",$O(VE \log U)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E),"The dynamic tree should take $O(E)$ extra space, and that should be the only extra space (if any) compared to Dinitz's original algorithm. Thus, this requires $O(E)$ space.",1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,762183.964,10335.92387,0.5221954617,1646721030716,4783976929,1.754167902,2.53E+18,3.11E+15,4.060932865,2,,,Combinatorics
98,5,Maximum Flow,2.0,,59.0,,,1,1,O(V^2E^0.5),^ see above,,[https://www.sciencedirect.com/science/article/abs/pii/S037722179600269X Cherkassky (1977)],Cherkassky,1977,https://www.sciencedirect.com/science/article/abs/pii/S037722179600269X,,,,0,0,6,"V: 6,
E: 2.5",$O(V^2E^{0.5})$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,1044405.0,7542.931549,,,,,,,,2,,,Combinatorics
99,5,Maximum Flow,1.0,,61.0,,,1,1,O(VELogV),^ see above,,[https://www.sciencedirect.com/science/article/pii/0022000083900065 Sleator & Tarjan (1983)],Sleator & Tarjan,1983,https://www.sciencedirect.com/science/article/pii/0022000083900065,,,,0,0,6.01,"V: 6.01,
E: 3",$O(VE \log V)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E),can be derived?,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,761538.0,10344.69117,,,,,,,,2,,,Combinatorics
100,5,Maximum Flow,1.0,,62.0,,,1,1,O(VELog(V^2/E)),^ see above,,[https://www.cs.princeton.edu/courses/archive/fall03/cs528/handouts/a%20new%20approach.pdf Goldberg & Tarjan (1986)],Goldberg & Tarjan,1986,https://www.cs.princeton.edu/courses/archive/fall03/cs528/handouts/a%20new%20approach.pdf,,,,0,0,6,"V: 6,
E: 3",$O(VE \log (V^2/E))$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3",O(E),can be derived? also hints of space complexity might be in the paper,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,753550.0,10454.34998,,,,,,,,2,,,Combinatorics
101,5,Maximum Flow,1.0,,63.0,,,1,1,O(VE + V^2LogU),^ see above,,[https://www.researchgate.net/publication/38008130_A_Fast_and_Simple_Algorithm_for_the_Maximum_Flow_Problem Ahuja & Orlin (1987)],Ahuja & Orlin,1987,https://www.researchgate.net/publication/38008130_A_Fast_and_Simple_Algorithm_for_the_Maximum_Flow_Problem,,,,0,0,6,"V: 6,
E: 3,
U: 2",$O(VE + V^2 \log U)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"V: 5,
E: 3,
U: 2",O(ELogU),derived in sheet,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,545676.0,14436.91023,,,,,,,,2,,,Combinatorics
102,5,Maximum Flow,2.0,st-Maximum Flow,65.0,Push-relabel method,,1,1,O(VE + V^2(LogV)^2),[some distribution in this paper],https://ieeexplore.ieee.org/document/63465,[https://ieeexplore.ieee.org/document/63465 Cheriyan & Hagerup (1989)],Cheriyan & Hagerup,1989,https://ieeexplore.ieee.org/document/63465,,,,0,0,6.01,"V: 6.01,
E: 3",$O(VE \log V)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://ieeexplore.ieee.org/document/63465,0.0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: d_heap and e_heap are size O(V). Adjacency list of a given vertex is O(V). Dynamic trees data structure is size O(E).,1.0,0.0,,1,Las Vegas,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,3362046.0,2343.178952,,,,,,,,2,,,Combinatorics
103,5,Maximum Flow,2.0,st-Maximum Flow,66.0,Derandomization of Cheriyan & Hagerup,,1,1,O(V^3 / LogV),see 233,,[https://link.springer.com/chapter/10.1007/BFb0032035 Cheriyan et al. (1990)],Cheriyan et al.,1990,https://link.springer.com/chapter/10.1007/BFb0032035,,,,0,0,5.99,V: 5.99,$O(V^3 / \log V)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://link.springer.com/chapter/10.1007/BFb0032035,0.0,Uniform-Cost RAM (is this the same as Word RAM?),words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,1567523.0,5025.684104,,,,,,,,2,,,Combinatorics
104,5,Maximum Flow,2.0,st-Maximum Flow,67.0,Derandomization of Cheriyan & Hagerup,,1,1,O(VE + V^{(2.66)}LogV),^ see 233,,[https://www.sciencedirect.com/science/article/pii/002001909090024R Alon (1990)],Alon,1990,https://www.sciencedirect.com/science/article/pii/002001909090024R,,,,0,0,6,"V: 6,
E: 3",$O(VE + V^{2.66} \log V)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://www.sciencedirect.com/science/article/pii/002001909090024R,0.0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,15237244.0,517.0144564,0.1737537478,3.29E+15,2396247.828,0.4573965487,4.90E+23,16091415411,0.8268695823,2,,,Combinatorics
105,5,Maximum Flow,2.0,st-Maximum Flow,68.0,Derandomization of Cheriyan & Hagerup,,1,1,O(VE + V^{(2+\epsilon)}),^ see 233,,[https://dl.acm.org/citation.cfm?id=139438 King et al. (KRT) (1992)],King et al. (KRT),1992,https://dl.acm.org/citation.cfm?id=139438,,,,0,0,6,"V: 6,
E: 3",$O(VE + V^{2+\epsilon})$,"V: number of vertices
E: number of edges
U: maximum edge capacity
eps: any positive real number",V,https://dl.acm.org/citation.cfm?id=139438,0.0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,142011.0,55473.69869,,,,,,,,2,,,Combinatorics
106,5,Maximum Flow,2.0,st-Maximum Flow,69.0,Derandomization of Cheriyan & Hagerup,,1,1,O(VE(Log(V;V/E)) + V^2(LogV)^2 ),^ see 233,,[https://dl.acm.org/citation.cfm?id=167201 Phillips & Westbrook (1993)],Phillips & Westbrook,1993,https://dl.acm.org/citation.cfm?id=167201,,,,1,0,6,"V: 6,
E: 3",$O(VE(\log(V;V/E)) + V^2(\log V)^2 )$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=167201,0.0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: essentially the same as [CH89] above but derandomized,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,4524418.767,0.0002210228653,,26027057526546,0,,6.52E+19,0,,2,,,Combinatorics
107,5,Maximum Flow,2.0,Integer Maximum Flow,71.0,Finding blocking flows,,1,1,O(E^{1.5} Log(V^2/E) LogU),^ see 233,,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (1997)],Goldberg & Rao,1997,https://dl.acm.org/citation.cfm?id=290181,,,,1,3->4,6,"V: 6,
E: 4.5,
U: 2",$O(E^{1.5} \log(V^2/E) \log U)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=290181,0.0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,460753.7601,16.40695149,,75582472025,0,,5.82E+15,0,,2,,,Combinatorics
108,5,Maximum Flow,2.0,Integer Maximum Flow,72.0,Finding blocking flows,,1,1,O(V^{0.66}E Log(V^2/E) LogU),^ see 233,,[https://dl.acm.org/citation.cfm?id=290181 Goldberg & Rao (1997)],Goldberg & Rao,1997,https://dl.acm.org/citation.cfm?id=290181,,,,0,0,5.66,"V: 5.66,
E: 3,
U: 2",$O(V^{0.66}E \log(V^2/E) \log U)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=290181,0.0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,851225.0,9254.751005,,,,,,,,2,,,Combinatorics
109,5,Maximum Flow,2.0,st-Maximum Flow,73.0,Improvement of the KRT algorithm,,1,1,O(VE),^ see 233,,[https://dl.acm.org/citation.cfm?id=2488705 James B Orlin's + KRT (King; Rao; Tarjan)'s algorithm (2013)],James B Orlin's + KRT (King; Rao; Tarjan)'s algorithm,2013,https://dl.acm.org/citation.cfm?id=2488705,,,,1,0,6,"V: 6,
E: 3",$O(VE)$,"V: number of vertices
E: number of edges
U: maximum edge capacity",V,https://dl.acm.org/citation.cfm?id=2488705,0.0,Word RAM,words,5,"V: 5,
E: 3",O(V + E),Derived: creates and updates an auxiliary graph,1.0,0.0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,88757.0,88757.7929,0.2017379668,88757396440,88757396408,0.5017026406,8.88E+16,8.88E+16,0.8765413472,2,,,Combinatorics
110,10,Linear Programming,1.0,,112.0,,,1,1,O(n^3.5 L^2 logL loglogL),,,[https://web.archive.org/web/20131228145520/http://retis.sssup.it/~bini/teaching/optim2010/karmarkar.pdf Karmarkar's algorithm (1984)],Karmarkar's algorithm,1984,https://web.archive.org/web/20131228145520/http://retis.sssup.it/~bini/teaching/optim2010/karmarkar.pdf,,,,1,0,6.5,"n: 6.5,
L: 5.02",$O(n^{3.5} L^2 logL loglogL)$,"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,3,"n: 3,
m: 3,
L: 3",O(nmL),can be derived from paper?,1.0,0.0,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,389062121651.0,Inf,,1.23E+22,Inf,,3.89E+32,Inf,,1,,,Numerical Analysis
111,10,Linear Programming,1.0,,113.0,,,1,1,"O(2^n*poly(n, m))? (previously O(2^n))",,,[- Simplex Algorithm (1947)],Simplex Algorithm,1947,-,,,,0,0,8,"n: 8,
m: 7","$O(2^n*poly(n, m))$","n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,3,"n: 3,
m: 3",O(nm),can be easily derived?,1.0,0.0,,0,,0,,0,0,,0,0,http://www-leland.stanford.edu/group/SOL/reports/OR-80-27.pdf,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",333333.3333,inf,333333333333.0,inf,3.33e+17,inf,inf,1,,,,,,,,1,,,Numerical Analysis
112,10,Linear Programming,1.0,,114.0,,,1,1,"O(2^n*poly(n, m))? (previously O(2^n))",,,[- Terlaky's Criss-cross algorithm (1985)],Terlaky's Criss-cross algorithm,1985,-,,,,0,0,8,"n: 8,
m: 7","$O(2^n*poly(n, m))$","n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,3,"n: 3,
m: 3",O(nm),can be easily derived?,1.0,0.0,,0,,0,,0,0,,0,0,https://link.springer.com/content/pdf/10.1007/BF01585729.pdf,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,inf,1,,,,,,,,1,,,Numerical Analysis
113,10,Linear Programming,1.0,,115.0,,,1,1,? (originally O(n^{3.5} L) but seems unclear),,,[- Affine scaling (1967)],Affine scaling,1967,-,,,,0,0,6.5,"n: 6.5,
L: 3",? (originally $O(n^{3.5} L)$ but seems unclear),"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,3,"n: 3,
m: 5",O(nm+m^2)?,can be easily derived?,1.0,0.0,,0,,0,,0,0,,0,0,https://pdfs.semanticscholar.org/c23c/43d781da35b8314489d83ee8f3b5490541ea.pdf,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,316227766017.0,Inf,inf,,,inf,,,inf,1,,,Numerical Analysis
114,10,Linear Programming,1.0,,116.0,,,1,1,"$O(n^{(max(omega, 2.5-alpha/2, 13/6))}*polylog(n, m, L))$, where omega is the exponent on matrix multiplication, alpha is the dual exponent of matrix multiplication;
currently $O(n^{2.37285956})$",,,[https://arxiv.org/abs/1810.07896 Cohen; Lee and Song (2018)],Cohen; Lee and Song,2018,https://arxiv.org/abs/1810.07896,1,1.0,https://arxiv.org/abs/1810.07896,1,2->3,6,n: 6,"$O(n^{max(omega, 2.5-alpha/2, 13/6)}*polylog(n, m, L))$, where omega is the exponent on matrix multiplication, alpha is the dual exponent of matrix multiplication;
currently $O(n^2.37285956)$","n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,5,"n: 5,
m: 3",O(nm+n^2)?,"Not entirely sure about this, but it seems like each iteration manipulates a constant number of $O(m+n)\times O(n)$ matrices, along with a constant number of vectors of size $O(m+n)$, all of whose elements are of size $O(1)$ words.",1.0,0.0,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,12971792.0,Inf,,168267406107047,Inf,,2.18E+21,Inf,,1,,,Numerical Analysis
115,10,Linear Programming,1.0,,117.0,,,1,1,O((nnz(A) + n^2) n^{0.5}),,,[https://arxiv.org/abs/1503.01752 Lee and Sidford (2015)],Lee and Sidford,2015,https://arxiv.org/abs/1503.01752,,,,0,0,5.5,n: 5.5,$O((nnz(A) + n^2) n^{0.5})$,"n: number of variables
m: number of constraints
L: length of input, in bits",n,,,Word RAM,words,5,"n: 5,
m: 3",O(nm+n^2)??,Same reasoning as ^,1.0,0.0,,0,,0,,0,0,,0,0,,Linear programming (LP; also called linear optimization) is a method to achieve the best outcome (such as maximum profit or lowest cost) in a mathematical model whose requirements are represented by linear relationships. Linear programming is a special case of mathematical programming (also known as mathematical optimization).,,,"L = 10
nnz(A) = n",,,,,,,31654399.0,Inf,inf,,,inf,,,inf,1,,,Numerical Analysis
116,12,Convex Hull,1.0,2-dimensional,129.0,,,1,1,O(nlogn),Any distribution (runtime is same regardless of input),https://link.springer.com/chapter/10.1007/978-1-4612-1098-6_3,[https://www.sciencedirect.com/science/article/pii/0020019072900452?via%3Dihub Graham (1972)],Graham,1972,https://www.sciencedirect.com/science/article/pii/0020019072900452?via%3Dihub,,,,1,3->5,4,n: 4,$O(n \log n)$,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,n: 3,O(n),can be easily derived,1.0,0.0,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,9965.0,100351.2293,0.3651371615,19931568.57,50171665944,0.9462632475,29897352854,3.34E+16,1.796433658,3,,,Image Processing
117,12,Convex Hull,1.0,2-dimensional,130.0,,,1,1,O(nh),(pseudorandom sampling; experimental),https://dl.acm.org/citation.cfm?id=355766,[https://dl.acm.org/citation.cfm?id=355766 W. Eddy Quickhull (1977)],W. Eddy Quickhull,1977,https://dl.acm.org/citation.cfm?id=355766,,,,0,0,5,"n: 5,
h: 3",$O(nh)$,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,"n: 3,
h: 3",O(h)?,can be easily derived,1.0,0.0,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,9965.0,100351.2293,,,,,,,,3,,,Image Processing
118,12,Convex Hull,1.0,2-dimensional,132.0,,,1,1,O(nlogn),,,[https://www.sciencedirect.com/science/article/pii/0020019079900723 Andrew's algorithm (1979)],Andrew's algorithm,1979,https://www.sciencedirect.com/science/article/pii/0020019079900723,,,,0,0,4,n: 4,$O(nlogn)$,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,n: 3,O(n),can be easily derived,1.0,0.0,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,9965.0,100351.2293,,,,,,,,3,,,Image Processing
119,12,Convex Hull,1.0,2-dimensional,134.0,,,1,1,O(n log h),,,[https://ecommons.cornell.edu/handle/1813/6417 The ultimate planar convex hull algorithm (1986)],The ultimate planar convex hull algorithm,1986,https://ecommons.cornell.edu/handle/1813/6417,2,1.0,https://www.cs.princeton.edu/~chazelle/temp/451/451-2019/KirkSeidel.pdf,1,0,4,"n: 4,
h: 2",$O(n log h)$,"n: number of line segments
h: number of points on the convex hull",n,,,Real RAM,words,3,n: 3,O(n),https://ecommons.cornell.edu/handle/1813/6417,0.0,1.0,,0,,0,,0,0,,0,0,,"the convex hull or convex envelope or convex closure of a set X of points
 in the Euclidean plane or in a Euclidean space
 (or; more generally; in an affine space over the reals) is the smallest 
convex set that contains X. ",,,h = n^0.5,,,,,,,4982.892142,2.006063891,,9965784.285,0,,14948676427,0,,3,,,Image Processing
120,13,Strongly Connected Components,1.0,SCCs,137.0,,,1,1,O(V+E),,,[https://www.sciencedirect.com/science/article/pii/0898122181900080 Kosaraju's algorithm (1978)],Kosaraju's algorithm,1978,https://www.sciencedirect.com/science/article/pii/0898122181900080,,,,0,0,5,"V: 5,
E: 3",$O(V+E)$,"V: number of vertices
E: number of edges",V,,,Word RAM,words,5,"V: 5,
E: 3",O(V+E),auxiliary data structures take up at most that much space,1.0,0.0,,0,,0,,0,0,,0,0,,"The strongly connected components or diconnected components of an arbitrary
 directed graph form a partition into subgraphs that are themselves
 strongly connected.",,,"V:E
3:4",,,,,,,1000.0,1,,,,,,,,4,,https://www.sciencedirect.com/science/article/pii/B9780123743640500114,Combinatorics
